TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-C,37.89,5.57,0.96,0.09,42.59,12.9,0,76.7,10.4,500,1.07,fix,16.65,52.88,21.83,8.64,,0.17,
Type-C,37.89,5.57,0.96,0.09,42.59,12.9,0,76.7,10.4,700,1.07,fix,45.76,29.5,17.69,7.04,,0.58,
Type-C,37.89,5.57,0.96,0.09,42.59,12.9,0,76.7,10.4,900,1.07,fix,44.93,17.42,28.72,8.92,,1.01,
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,600,1.43,fix,26.03,38.22,19.83,15.91,,1.15,131.11
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,700,1.43,fix,30.35,36.25,21.79,11.61,,1.43,75.24
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,800,1.43,fix,43.07,25.28,23.36,8.29,,2.23,48.6
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900,1.43,fix,49.9,18.95,26.31,4.84,,2.53,25.54
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900,0.73,fix,44.58,30.88,19.12,5.42,,1.53,56.39
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900,2.1,fix,54.61,17.82,24.77,2.8,,1.57,43.19
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900,2.8,fix,48.03,16.55,33,2.42,,1.37,101.95
Type-J,47.89,7.37,0.18,0.09,36.56,7.9,0,86.7,5.4,500,1.07,fix,12.3,13.14,14.05,15.01,,0.11,
Type-J,47.89,7.37,0.18,0.09,36.56,7.9,0,86.7,5.4,700,1.07,fix,16.26,19.14,22.52,26.5,,0.43,
Type-J,47.89,7.37,0.18,0.09,36.56,7.9,0,86.7,5.4,900,1.07,fix,15.19,16.7,18.37,20.19,,0.9,
Type-K,48.29,5.5,0.6,0.01,38.1,7.5,0,71,21.5,850,0.6,fix,40.4,24.1,21.7,12.2,,0.74,219
Type-K,48.29,5.5,0.6,0.01,38.1,7.5,0,71,21.5,850,0.7,fix,39.4,23.5,23.1,11.3,,0.72,217
Type-K,48.29,5.5,0.6,0.01,38.1,7.5,0,71,21.5,850,1,fix,52.2,22.1,19.5,6,,0.86,212
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0,79.9,14.46,700,1.16,fix,34.01,11.34,38.25,10.3,94.09,0.88,175
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0,79.9,14.46,750,1.16,fix,40.47,13.26,36.76,5.89,63.16,0.95,170
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0,79.9,14.46,800,1.16,fix,46.54,14.65,32.61,2.87,31.25,1.28,155
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0,79.9,14.46,850,1.16,fix,51.16,15.66,28.23,2.14,3.18,1.32,100
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0,79.9,14.46,900,1.16,fix,54.22,22.72,20.61,1.33,0,1.75,90
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0,79.9,14.46,900,0.25,fix,38.62,47.57,12.11,0.61,14.87,0.78,145.4
