TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-C,37.89,5.57,0.96,0.09,42.59,12.9,0.0,76.7,10.4,500.0,1.07,fix,16.65,52.88,21.83,8.64,12.7,0.17,102.4
Type-C,37.89,5.57,0.96,0.09,42.59,12.9,0.0,76.7,10.4,700.0,1.07,fix,45.765,29.503,17.692,7.041,12.7,0.58,102.4
Type-C,37.89,5.57,0.96,0.09,42.59,12.9,0.0,76.7,10.4,900.0,1.07,fix,44.934,17.422,28.723,8.921,12.7,1.01,102.4
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,600.0,1.43,fix,26.033,38.224,19.832,15.912,12.7,1.15,131.11
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,700.0,1.43,fix,30.35,36.25,21.79,11.61,12.7,1.43,75.24
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,800.0,1.43,fix,43.07,25.28,23.36,8.29,12.7,2.23,48.6
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900.0,1.43,fix,49.9,18.95,26.31,4.84,12.7,2.53,25.54
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900.0,0.73,fix,44.58,30.88,19.12,5.42,12.7,1.53,56.39
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900.0,2.1,fix,54.61,17.82,24.77,2.8,12.7,1.57,43.19
Type-I,47.64,6.56,1.2,0.22,35.11,9.26,9.68,64.19,16.87,900.0,2.8,fix,48.03,16.55,33.0,2.42,12.7,1.37,101.95
Type-J,47.89,7.37,0.18,0.09,36.56,7.9,0.0,86.7,5.4,500.0,1.07,fix,22.569,24.11,25.78,27.541,12.7,0.11,102.4
Type-J,47.89,7.37,0.18,0.09,36.56,7.9,0.0,86.7,5.4,700.0,1.07,fix,19.261,22.672,26.676,31.391,12.7,0.43,102.4
Type-J,47.89,7.37,0.18,0.09,36.56,7.9,0.0,86.7,5.4,900.0,1.07,fix,21.561,23.705,26.075,28.659,12.7,0.9,102.4
Type-K,48.29,5.5,0.6,0.01,38.1,7.5,0.0,71.0,21.5,850.0,0.6,fix,41.057,24.492,22.053,12.398,12.7,0.74,219.0
Type-K,48.29,5.5,0.6,0.01,38.1,7.5,0.0,71.0,21.5,850.0,0.7,fix,40.493,24.152,23.741,11.614,12.7,0.72,217.0
Type-K,48.29,5.5,0.6,0.01,38.1,7.5,0.0,71.0,21.5,850.0,1.0,fix,52.305,22.144,19.539,6.012,12.7,0.86,212.0
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,700.0,1.16,fix,36.219,12.077,40.735,10.969,94.09,0.88,175.0
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,750.0,1.16,fix,41.99,13.758,38.141,6.111,63.16,0.95,170.0
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,800.0,1.16,fix,48.143,15.155,33.733,2.969,31.25,1.28,155.0
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,850.0,1.16,fix,52.639,16.113,29.046,2.202,3.18,1.32,100.0
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,900.0,1.16,fix,54.834,22.977,20.843,1.345,0.0,1.75,90.0
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,900.0,0.25,fix,39.046,48.094,12.243,0.617,14.87,0.78,145.4
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,900.0,0.4,fix,41.346,42.771,13.418,2.465,6.7,0.91,131.1
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,900.0,0.73,fix,53.437,26.273,17.998,2.292,0.0,1.14,96.7
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,900.0,0.91,fix,54.129,23.653,20.873,1.345,0.0,1.31,96.2
Type-N,48.89,5.44,0.25,0.34,39.45,5.64,0.0,79.9,14.46,900.0,1.16,fix,54.834,22.977,20.843,1.345,0.0,1.75,94.5
Type-O,49.06,6.03,0.04,0.0,44.32,0.55,9.4,81.02,18.43,800.0,1.22,fix,30.108,44.086,13.441,12.366,364.0,0.73,8.9
Type-O,49.06,6.03,0.04,0.0,44.32,0.55,9.4,81.02,18.43,850.0,1.22,fix,34.921,39.683,14.815,10.582,245.0,0.85,6.3
Type-O,49.06,6.03,0.04,0.0,44.32,0.55,9.4,81.02,18.43,900.0,1.22,fix,39.791,34.031,17.277,8.901,142.0,0.96,4.5
Type-O,49.06,6.03,0.04,0.0,44.32,0.55,9.4,81.02,18.43,900.0,0.11,fix,29.843,52.356,7.33,10.471,154.0,0.79,10.7
Type-O,49.06,6.03,0.04,0.0,44.32,0.55,9.4,81.02,18.43,900.0,2.33,fix,42.487,31.088,18.653,7.772,142.0,1.01,3.6
Type-O,49.06,6.03,0.04,0.0,44.32,0.55,9.4,81.02,18.43,850.0,1.22,fix,33.158,42.105,14.211,10.526,243.0,0.74,6.2
Type-O,49.06,6.03,0.04,0.0,44.32,0.55,9.4,81.02,18.43,850.0,1.22,fix,30.159,39.683,17.989,12.169,263.0,0.72,6.4
Type-S,50.15,6.47,0.1,0.0,42.79,0.5,0.0,86.6,13.0,500.0,1.07,fix,7.811,38.334,41.134,12.721,12.7,0.15,102.4
Type-S,50.15,6.47,0.1,0.0,42.79,0.5,0.0,86.6,13.0,700.0,1.07,fix,36.41,31.0,21.92,10.67,12.7,0.52,102.4
Type-S,50.15,6.47,0.1,0.0,42.79,0.5,0.0,86.6,13.0,900.0,1.07,fix,42.77,33.88,16.01,7.34,12.7,1.24,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,700.0,1.23,fix,33.846,30.769,19.487,15.897,1.85,1.03,102.4
